NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"Reparación de vehiculo 5324-KSM - sustitución de cambio de aceite, filtros de aceite, aire, habitaculo, tornillo 
de carter o junta, quitar testigos de mantenimientos en cuandro de mandos","148,01 €","116,93 €","Auto Center Principado, S.L.",,30 dias,Servicios,
,Reparacion vehiculo oficial matricula 5173KSM,"363,01 €","300,01 €","Auto Center Principado, S.L.",,1 Mes,Servicios,
,Reparacion vehiculo oficial matricula 5224KSM,"550,01 €","454,55 €","Auto Center Principado, S.L.",,1 Mes,Servicios,
,Serv Transpor Visitas Jorn Ayud PAC,"1.760,00 €","1.600,00 €","Autocares Mariano, S.L.",,3 días,Servicios,
,Reparación vehículo Ford Ranger 2291KGJ,"481,00 €","397,52 €",Auto-Center Principado S.L.,,10 días,Servicios,
,Suministro de una plataforma de pesaje,"8.470,00 €","7.000,00 €",Básculas Nora SL,,Un (1) mes,Suministros,
,Elaboracion de informes sobre afecciones a bienes integrantes del Patrimonio Cultura. Año 2024,"16.550,00 €","13.677,69 €",Bernardino Díaz Nosti,,8 meses,Servicio,
,Evaluación cuantitativa de las poblaciones de percebe,"17.424,00 €","14.400,00 €",Biosfera Consultoría Medioambiental,,Hasta 01.12.24Servicios,,
,Estudio distribución y recogida muestras desmán ibérico occidente,"16.214,00 €","13.400,00 €",Biosfera Consultoría Medioambiental S.L.,,hasta el 31 de diciembre,,
,Diseño Cartel Acceso Aguiño- Perlunes,"1.210,00 €","1.000,00 €","Bittia Media, S.L.",,15 días,Suministros,
,"Redaccion de proyectos Acondicionamiento de camino en Coto de Peñerudes y Acondicionamiento camino en 
Carraluz","5.489,00 €","4.990,00 €",Bizkares Biosolutions SL,,4 meses,Servicio,
,Proyecto de Ordenación del Monte Peñafuente y Silvallana. Grandas de Salime.,"8.700,00 €","7.909,09 €",Campo de Casariego SL,,6 meses,Servicio,
